Date,PM10,PM2.5,O3,NO2,CO,SO2,D-10,D-12,B-06,temp,use_count
2020-03-31,0.339362957,0.377816914,-0.596689992,0.955734434,0.606813483,1.043327284,0.386195309,0.50726354,0.35529144,-0.159694842,-0.894123772
2020-04-01,1.182822137,0.973041406,1.910574144,-1.263686078,0.0122013435,1.043327284,0.274133256,0.569734785,0.257425326,-0.219148333,-0.733814335
2020-04-02,0.0473963172,0.377816914,0.406215662,-0.391770877,0.0122013435,-0.0400139725,0.465509266,0.478049047,0.43593874,-0.417326636,-0.745265009
2020-04-03,0.566448121,0.749832221,0.322640191,0.0838192327,0.606813483,-0.0400139725,0.788015843,0.562446473,0.842864988,-0.34796423,-0.630758268
2020-04-04,1.539670252,1.19625059,0.90766849,-0.946626005,0.0122013435,-0.0400139725,0.316691964,0.559077926,0.207701609,-0.456962297,-0.997179839
2020-04-05,0.534007383,0.526623037,0.90766849,-1.025891023,-0.582410796,-0.0400139725,-0.900376557,-0.273198293,-1.026079097,-0.625413854,-0.813969054
2020-04-06,0.598888858,0.15460773,0.155489249,0.163084251,0.0122013435,-0.0400139725,0.293339945,0.267422958,0.418544224,-0.417326636,-0.562054223
2020-04-07,0.793533285,0.452219975,0.489791134,0.00455421446,0.0122013435,1.043327284,0.382464514,0.361987273,0.388850556,-0.288510739,-0.573504898
2020-04-08,0.209600006,-0.0686014547,0.824093018,-1.105156042,-0.582410796,-1.123355229,0.405540177,0.570469741,0.520451489,-0.407417721,-0.516251527
2020-04-09,0.43668517,0.377816914,0.573366605,-0.471035895,0.0122013435,-0.0400139725,0.601199694,0.542480173,0.537318898,-0.456962297,-0.836870402
2020-04-10,0.0798370549,0.303413853,0.573366605,-0.391770877,0.0122013435,-1.123355229,0.821040295,0.692288668,0.784531865,-0.278601824,-0.66511029
2020-04-11,0.274481481,0.526623037,0.0719137776,0.163084251,0.0122013435,-0.0400139725,0.396420454,0.604645186,0.121783243,-0.357873145,-0.791067705
2020-04-12,-0.147248109,0.15460773,0.656942076,-1.025891023,-0.582410796,-1.123355229,-0.960069291,-0.233143201,-1.096359969,-0.357873145,-0.493350179
2020-04-13,-0.536536962,-0.738229008,0.656942076,-0.788095968,-0.582410796,-1.123355229,0.37804283,0.504139978,0.437871464,-0.110150266,-0.539152875
2020-04-14,0.404244432,0.526623037,0.656942076,0.559409342,0.0122013435,-0.0400139725,0.689633374,0.648926275,0.779436502,-0.0506967752,-0.458998157
2020-04-15,0.890855498,1.345056713,1.659847731,0.242349269,0.606813483,1.043327284,-0.0666127678,0.344103349,-0.27829062,-0.0308789449,-0.241435349
2020-04-16,0.598888858,0.898638344,1.743423202,-0.153975822,0.0122013435,-0.0400139725,0.506409843,0.572368377,0.583352869,0.246570679,-0.60785692
2020-04-17,-0.0174851582,0.0802046682,1.743423202,-0.867360987,-1.177022935,-0.0400139725,0.354414456,0.400511208,0.348439055,-0.100241351,-1.077334558
2020-04-18,-0.504096224,-0.663825946,1.659847731,-1.18442106,-0.582410796,-1.123355229,0.447131642,0.581922802,0.56894529,-0.00115219944,-0.630758268
2020-04-19,-0.504096224,-0.366213701,1.241970375,-1.025891023,-0.582410796,-1.123355229,-1.126711507,-0.412472421,-1.290159473,-0.120059181,-1.294897366
2020-04-20,-0.763622126,-0.887035131,1.576272259,-0.946626005,-1.177022935,-1.123355229,0.164558399,0.378830011,0.281847929,-0.34796423,-0.768166357
2020-04-21,-0.0499258959,-0.812632069,1.743423202,-1.422216115,-1.177022935,-1.123355229,0.526031066,0.663441652,0.517815956,-0.605596024,-0.894123772
2020-04-22,1.961399843,-0.663825946,1.409121317,-1.580746151,-1.177022935,-1.123355229,0.439531873,0.704047961,0.441034103,-0.744320836,-0.894123772
2020-04-23,0.112277793,-0.440616762,0.824093018,-1.501481133,-1.177022935,-1.123355229,0.634500502,0.786730491,0.598990363,-0.556051448,-0.619307594
2020-04-24,0.14471853,-0.440616762,1.743423202,-0.471035895,-0.582410796,-0.0400139725,0.88128574,0.941499937,0.802453487,-0.357873145,-0.596406246
2020-04-25,0.761092547,0.229010791,3.247781684,-0.946626005,-0.582410796,-0.0400139725,0.606588621,0.833093954,0.362846633,-0.0407878601,-0.504800853
2020-04-26,-0.212129585,-0.366213701,1.910574144,-1.263686078,-0.582410796,-1.123355229,-0.4894363,-0.011064051,-0.556251469,-0.120059181,-0.504800853
2020-04-27,-0.114807371,-0.143004516,1.576272259,-0.788095968,-0.582410796,-0.0400139725,0.43386659,0.477620322,0.461942663,-0.0606056904,-0.60785692
2020-04-28,-0.0499258959,-0.143004516,1.826998673,-0.0747108038,-0.582410796,-0.0400139725,0.881423918,0.787710432,0.872207252,0.0384834612,-0.458998157
2020-04-29,0.274481481,0.526623037,2.412026971,-0.0747108038,0.0122013435,-0.0400139725,1.115358637,0.823784513,1.321477726,0.137572613,-0.252886023
2020-04-30,-0.147248109,0.824235283,0.0719137776,0.797204397,0.0122013435,-0.0400139725,0.267086197,0.562691458,0.465456706,0.355568746,-0.0696752372
2020-05-01,0.469125908,1.19625059,1.743423202,-1.263686078,-0.582410796,-1.123355229,0.246912263,0.318073663,0.102807407,0.662745116,-0.0925765854
2020-05-02,0.339362957,0.601026098,1.074819432,-1.18442106,-0.582410796,-1.123355229,0.171881813,0.356413859,-0.000856878619,0.672654031,-0.41319546
2020-05-03,-0.374333273,-0.291810639,1.074819432,-1.342951096,-0.582410796,-1.123355229,-0.49233803,-0.152910524,-0.550101892,0.821287758,-0.447547482
2020-05-04,-0.0823666337,-0.217407578,1.241970375,-0.550300914,-0.582410796,-1.123355229,0.657990698,0.52673987,0.471957687,0.662745116,-0.264336697
2020-05-05,-0.147248109,-0.291810639,0.406215662,-0.23324084,0.0122013435,-0.0400139725,-0.0671654783,0.256459867,-0.49914826,0.246570679,-0.0696752372
2020-05-06,-0.406774011,-0.589422885,1.576272259,-0.867360987,-0.582410796,-1.123355229,0.632566015,0.534824384,0.544346985,0.583473795,-0.344491416
2020-05-07,-0.504096224,-0.738229008,2.495602443,-1.105156042,-1.177022935,-1.123355229,0.873962326,0.705334134,-0.578565646,0.712289692,-0.275787371
2020-05-08,-0.439214749,-0.663825946,2.3284515,-0.788095968,-1.177022935,-1.123355229,1.062989317,0.610218601,1.366281782,0.63301837,-0.630758268
2020-05-09,-0.893385077,-1.035841254,1.492696788,-1.342951096,-1.177022935,-1.123355229,-0.0110653625,0.162018044,-0.103994058,0.0682102066,-1.569713544
2020-05-10,-0.341892535,-0.217407578,2.161300558,-1.18442106,0.0122013435,-1.123355229,-0.529093279,-0.0364200268,-0.503365113,0.088028037,-0.791067705
2020-05-11,0.534007383,0.601026098,2.99705527,-1.342951096,0.606813483,-1.123355229,0.466891042,0.313725175,0.799115146,0.296115255,-0.367392764
2020-05-12,0.0149555795,-0.663825946,1.074819432,-0.867360987,-0.582410796,-1.123355229,0.555324722,0.563793892,0.731645509,0.0781191218,-0.344491416
2020-05-13,-0.212129585,-0.812632069,0.90766849,-0.471035895,-0.582410796,-1.123355229,0.800590007,0.728913966,0.723036102,0.256479595,-0.310139393
2020-05-14,0.0149555795,-0.663825946,0.656942076,0.480144324,-0.582410796,-0.0400139725,0.816480434,0.739938303,0.844973415,0.57356488,-0.0811259113
2020-05-15,-0.374333273,-0.812632069,1.241970375,-0.788095968,-1.177022935,-1.123355229,0.38094456,0.227184127,0.583177167,0.256479595,-1.581164218
2020-05-16,-0.958266552,-1.259050438,0.406215662,-1.105156042,-0.582410796,-1.123355229,0.620544561,0.556995551,0.288348909,0.315933086,-0.596406246
2020-05-17,0.0149555795,0.00580160671,1.659847731,-1.18442106,0.0122013435,-1.123355229,-0.269595699,0.0708835228,-0.538681251,0.553747049,-0.149829956
2020-05-18,-0.0823666337,-0.0686014547,1.074819432,-0.788095968,0.0122013435,-1.123355229,0.200346404,0.271832693,0.396054345,0.553747049,-1.226193321
2020-05-19,-0.763622126,-1.035841254,1.241970375,-1.580746151,-1.177022935,-1.123355229,0.204768088,0.4779878,0.383403788,-0.0506967752,-0.66511029
2020-05-20,-1.023148027,-1.333453499,0.740517547,-1.422216115,-1.177022935,-1.123355229,0.79050304,0.695044752,0.992387543,0.088028037,-0.436096808
2020-05-21,-0.568977699,-0.812632069,0.322640191,-0.23324084,-0.582410796,-1.123355229,0.837207078,0.70472167,0.852001502,0.385295492,-0.0582245631
2020-05-22,0.0798370549,0.229010791,0.740517547,0.0838192327,0.0122013435,-0.0400139725,1.007856444,0.722421856,1.211488161,0.494293558,0.262394312
2020-05-23,0.177159268,0.452219975,1.659847731,-0.550300914,0.0122013435,-0.0400139725,0.825323802,0.627796295,0.818090981,0.652836201,-0.184181978
2020-05-24,-0.406774011,-0.291810639,1.409121317,-1.422216115,-0.582410796,-1.123355229,-0.45572096,0.0189466449,-0.805748564,0.355568746,-0.573504898
2020-05-25,-0.179688847,-0.217407578,1.576272259,-0.550300914,0.0122013435,-1.123355229,0.517740408,0.301475911,0.775571054,0.30602417,-0.184181978
2020-05-26,0.112277793,0.0802046682,1.576272259,-0.788095968,0.0122013435,-1.123355229,0.624828068,0.352616587,0.767488753,0.26638851,-0.688011639
2020-05-27,-0.731181388,-0.812632069,-0.0116616937,-1.105156042,-0.582410796,-1.123355229,0.808466132,0.552095845,0.704587373,0.385295492,0.067732852
2020-05-28,-0.341892535,-0.440616762,0.23906472,-0.153975822,0.0122013435,-0.0400139725,0.537914342,0.706865292,0.914902882,0.514111389,-0.264336697
2020-05-29,-0.244570322,-0.143004516,1.492696788,-0.471035895,-0.582410796,-1.123355229,1.108449755,0.87706881,1.318139385,0.712289692,0.0219301556
2020-05-30,-0.0499258959,0.229010791,2.913479799,-0.550300914,0.0122013435,-1.123355229,0.815098658,0.690818756,0.821429323,0.90055908,0.0104794815
2020-05-31,0.209600006,0.749832221,2.579177914,-1.025891023,0.0122013435,-0.0400139725,-0.178951177,-0.0109415584,-0.581201178,0.761834267,-0.401744786
2020-06-01,-0.633859175,-0.887035131,2.161300558,-1.501481133,-1.177022935,-1.123355229,0.422674202,0.586700015,0.596530532,0.61320054,0.0791835261
2020-06-02,-0.439214749,-0.663825946,0.824093018,-0.312505859,-0.582410796,-0.0400139725,0.500330028,0.532986994,0.478458668,0.434840067,-0.35594209
2020-06-03,0.0473963172,-0.291810639,1.576272259,-1.18442106,-0.582410796,-1.123355229,0.594014457,0.719849511,0.765028923,0.841105589,0.147887571
2020-06-04,0.566448121,0.15460773,2.412026971,-1.105156042,-0.582410796,-1.123355229,0.774198081,0.71819586,0.946353572,0.831196674,0.170788919
2020-06-05,0.177159268,-0.291810639,2.244876029,-1.342951096,-0.582410796,-1.123355229,1.122543873,0.71819586,1.242411745,0.94019474,0.136436897
2020-06-06,0.274481481,0.229010791,2.913479799,-0.946626005,0.0122013435,-1.123355229,0.591250905,0.508672206,0.874491381,1.098737383,0.319647682
2020-06-07,0.534007383,0.303413853,3.247781684,-1.342951096,0.0122013435,-0.0400139725,-0.248869055,0.0231113945,-0.532531674,0.910467995,0.228042289
2020-06-08,-0.0823666337,-0.291810639,1.576272259,-1.18442106,-0.582410796,-1.123355229,0.208913417,0.403696016,0.423990992,1.138373043,0.205140941
2020-06-09,0.274481481,0.0802046682,2.495602443,-0.946626005,-0.582410796,-0.0400139725,0.48333418,0.619344303,-1.332152294,1.306824601,0.434154423
2020-06-10,0.177159268,0.0802046682,1.826998673,-0.629565932,-0.582410796,-0.0400139725,0.617919187,0.449018292,-1.505218941,1.217644365,-0.630758268
2020-06-11,-0.244570322,-0.366213701,1.074819432,-1.422216115,-1.177022935,-1.123355229,0.780692429,0.699209502,0.893642918,1.24737111,0.365450379
2020-06-12,0.274481481,0.00580160671,0.90766849,0.242349269,-0.582410796,-0.0400139725,1.151561174,0.756658548,1.33149275,1.108646298,0.491407794
2020-06-13,0.469125908,0.15460773,4.250687338,-0.629565932,-0.582410796,-0.0400139725,0.908230377,0.637411967,0.704763075,1.326642431,0.502858468
2020-06-14,-0.0823666337,-0.143004516,2.99705527,-1.422216115,-0.582410796,-0.0400139725,-0.304969171,-0.00775674986,-0.284440197,1.039283892,0.376901053
2020-06-15,-0.374333273,-0.515019823,2.579177914,-0.867360987,-0.582410796,-0.0400139725,0.592218148,0.476272903,0.895048536,0.94019474,0.53721049
2020-06-16,-0.0174851582,0.303413853,4.835715637,-1.422216115,-0.582410796,-1.123355229,0.785252291,0.587434971,0.992211841,1.078919552,0.250943638
2020-06-17,0.469125908,0.898638344,3.582083568,-0.391770877,0.606813483,1.043327284,0.832370861,0.597479367,0.964099492,1.069010637,0.47995712
2020-06-18,-0.244570322,0.00580160671,1.910574144,-0.788095968,0.0122013435,1.043327284,0.850195774,0.573348318,1.001524057,0.979830401,0.834928017
2020-06-19,-0.633859175,-0.663825946,1.241970375,-1.580746151,-1.177022935,-1.123355229,1.206832224,0.671893644,1.462742279,1.108646298,0.525759816
2020-06-20,-0.0823666337,0.0802046682,2.579177914,-0.788095968,-0.582410796,-0.0400139725,0.996387702,0.752187567,1.012768996,1.128464128,0.468506445
2020-06-21,-0.114807371,0.15460773,2.829904328,-1.18442106,-0.582410796,-1.123355229,0.00966128125,0.203420555,-0.220484603,1.24737111,0.0448315038
2020-06-22,-0.0823666337,0.15460773,0.573366605,-0.629565932,0.0122013435,-1.123355229,0.55836463,0.373011611,0.800872167,1.495093989,0.617365209
2020-06-23,0.0149555795,0.0802046682,2.579177914,0.163084251,-0.582410796,-0.0400139725,0.752780549,-1.329881022,0.935108633,1.366278092,0.583013186
2020-06-24,-0.406774011,-0.291810639,1.743423202,-1.263686078,-1.177022935,-0.0400139725,0.0262425963,-0.658315142,0.3521288,0.870832334,-1.386502759
